defense,target_fpr,qid,final_score,detector_calls,evaded
D2_embed_probe,0.001,1104,0.011350311918201662,9,True
D2_embed_probe,0.001,452,0.007546920790299253,9,True
D2_embed_probe,0.01,238,0.06410648979436602,9,True
D2_embed_probe,0.01,775,0.005070582217276585,9,True
D2_embed_probe,0.01,1137,0.009677243634186919,9,True
D2_embed_probe,0.01,715,0.021951924641536728,9,True
D2_embed_probe,0.01,993,0.01425164013539364,9,True
D2_embed_probe,0.01,1352,0.014287553080839926,9,True
D2_embed_probe,0.01,1021,0.005909713315477478,9,True
D2_embed_probe,0.01,636,0.006473171836113199,9,True
D2_embed_probe,0.01,1337,0.013571386114977376,9,True
D2_embed_probe,0.01,936,0.020137504645693857,9,True
D2_embed_probe,0.01,1336,0.004422576607048013,9,True
D2_embed_probe,0.01,882,0.09045881822989273,9,True
D2_embed_probe,0.01,1146,0.014700388295549623,9,True
D2_embed_probe,0.01,421,0.00914673875800419,9,True
D2_embed_probe,0.01,784,0.00732222313395662,9,True
D2_embed_probe,0.01,216,0.011211516925404072,9,True
D2_embed_probe,0.01,1368,0.011466739059730535,9,True
D2_embed_probe,0.01,185,0.009597075479429519,9,True
D2_embed_probe,0.01,975,0.021141471889715713,9,True
D2_embed_probe,0.01,1014,0.006872389276701377,9,True
D2_embed_probe,0.01,808,0.38801679796116706,25,False
D2_embed_probe,0.01,770,0.012011195302348392,9,True
D2_embed_probe,0.01,598,0.008179306028863102,9,True
D2_embed_probe,0.01,660,0.04995481593899583,9,True
D2_embed_probe,0.01,350,0.0391507300935082,9,True
D2_embed_probe,0.01,693,0.06010334211884602,9,True
D2_embed_probe,0.01,132,0.04428285600149784,9,True
D2_embed_probe,0.01,127,0.008750600136029843,9,True
D2_embed_probe,0.01,410,0.009634826318494652,9,True
D2_embed_probe,0.01,232,0.024355729386130443,9,True
D2_embed_probe,0.01,219,0.00927897723776116,9,True
D2_embed_probe,0.01,217,0.008304759468392212,9,True
D2_embed_probe,0.01,115,0.11783867879556367,17,True
D2_embed_probe,0.01,324,0.10799386127062145,33,True
D2_embed_probe,0.01,619,0.003825907062359865,9,True
D2_embed_probe,0.01,1199,0.06252135517204213,9,True
D2_embed_probe,0.01,1319,0.005839061764006164,9,True
D2_embed_probe,0.01,236,0.059117737904857574,9,True
D2_embed_probe,0.01,873,0.021016744770306107,9,True
D2_embed_probe,0.01,113,0.012479544923888617,9,True
D2_embed_probe,0.01,279,0.04283916951246552,9,True
D2_embed_probe,0.01,729,0.025262024861436264,9,True
D2_embed_probe,0.01,759,0.014749232711695185,9,True
D2_embed_probe,0.01,1163,0.02405252008126316,9,True
